,Year,Cumulative cash flow,Investor cash flow,Monetized tax losses,Gross margin,Cost of goods sold ($/year),Cost of goods sold ($/kg),Average utilization,Hydrogen sales (kg/day),Capacity covered by TOPC (kg/day),Cost of Hydrogen ($/kg),Hydrogen sales (kg/year),Sales revenue of Hydrogen ($/year),Value of Water ($/gal),Water expenses ($/year),Value of Electricity PTC ($/kg),Electricity PTC ($/year),Value of H2 PTC ($/kg),H2 PTC ($/year),Annual operating incentive ($/year),Incidental revenue ($/year),Credit card fees ($/year),Sales tax ($/year),Road tax ($/year),Total revenue ($/year),Total feedstock/utilities cost ($/year),Labor ($/year),Total annual maintenance ($/year),Rent of land ($/year),Property insurance ($/year),Licensing & permitting ($/year),Administrative expense ($/year),TOPC revenue ($/year),Wind and Electrical Export Fixed O&M Cost expenses ($/year),Wave O&M Cost expenses ($/year),Solar O&M Cost expenses ($/year),Battery O&M Cost expenses ($/year),Electrolysis System Fixed O&M Cost expenses ($/year),Hydrogen Storage Fixed O&M Cost expenses ($/year),Total operating expense ($/year),EBITD ($/year),Interest on outstanding debt ($/year),Depreciation ($/year),Taxable income ($/year),Remaining available deferred carry-forward tax losses ($/year),Income taxes payable ($/year),Income before extraordinary items ($/year),Sale of non-depreciable assets ($/year),Net capital gains or loss ($/year),Capital gains taxes payable ($/year),Net income ($/year),Net annual operating cash flow ($/year),Capital expenditure for Wind System ($/year),Capital expenditure for Wave System ($/year),Capital expenditure for Solar System ($/year),Capital expenditure for Battery System ($/year),Capital expenditure for Electrical Export system ($/year),Capital expenditure for Electrolysis System ($/year),Capital expenditure for Hydrogen Storage System ($/year),Expenditure for non-depreciable fixed assets ($/year),Capital expenditures for equipment installation ($/year),Total capital expenditures ($/year),Incurrence of debt ($/year),Repayment of debt ($/year),Inflow of equity ($/year),Dividends paid ($/year),One-time capital incentive ($/year),Net cash for financing activities ($/year),Net change of cash ($/year),Cumulative cash ($/year),Cumulative PP&E ($/year),Cumulative depreciation ($/year),Net PP&E ($/year),Cumulative deferred tax losses ($/year),Total assets ($/year),Cumulative debt ($/year),Total liabilities ($/year),Cumulative capital incentives equity ($/year),Cumulative investor equity ($/year),Retained earnings ($/year),Retained earnings no dividends ($/year),Total equity ($/year),Investor equity less capital incentive ($/year),Returns on investor equity,Debt/Equity ratio,Returns on total equity,Debt service coverage ratio (DSCR)
21,2051,1836073613.3193748,151915037.43318376,-0.0,0.720057423675001,221569493.79888958,3.0631783405627857,1.0,198173.15270208023,0.0,5.563723286121834,72333200.73625928,402441913.2960508,0.011040415,31891790.497519672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,402441913.2960508,31891790.497519672,0.0,0.0,0.0,47975.16580509424,0.0,0.0,0.0,41275125.281676605,0.0,2001.0,42.888,32925985.047892097,6517706.148364854,112660626.02925831,289781287.2667925,91261607.78220451,17647259.987426754,180872419.4971612,0,46556560.778569296,134315858.71859193,0.0,0.0,0.0,134315858.71859193,151963118.7060187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0,0.0,0.0,0.0,0.0,-151915037.43318376,0.0,-151915037.43318376,48081.27283492312,20873232.882502675,3504050221.736691,-3500851877.3496847,3198344.387006283,-0.0,24071577.269508958,1983947995.2653153,1983947995.2653153,0.0,1359972539.1251574,-3319848957.120965,-123802804.67643243,-1959876417.9958076,-1959876417.9958076,-0.06853282048056115,-1.0122821913914979,-0.06853282048056115,0.4494373312555667
22,2052,1820397485.5505137,-15676127.768861098,-0.0,0.7118070931040088,259861599.8400023,3.5925632654845114,1.0,198173.15270208023,0.0,5.563723286121834,72333200.73625928,402441913.2960508,0.011415789,32976111.05668488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,402441913.2960508,32976111.05668488,0.0,0.0,0.0,2283933.426954889,0.0,0.0,0.0,41275125.281676605,0.0,2001.0,42.888,32925985.047892097,6517706.148364854,115980904.84957331,286461008.4464775,91261607.78220451,52619087.20822446,142580313.4560485,0,36700172.68358688,105880140.77246161,0.0,0.0,0.0,105880140.77246161,158499227.98068607,0.0,0.0,0.0,0.0,0.0,201682971.2848772,0.0,-0.0,0,201682971.2848772,26962939.762441088,0.0,15676127.768861098,0.0,0.0,42639067.531302184,-544675.7728889473,20328557.109613728,3705733193.0215683,-3553470964.557909,152262228.4636593,-0.0,172590785.573273,2010910935.0277565,2010910935.0277565,0.0,1375648666.8940184,-3213968816.348503,-17922663.903970823,-1838320149.4544847,-1838320149.4544847,-0.05759613786743358,-1.0938850534954359,-0.05759613786743358,0.354287932606963
23,2053,1974897742.706873,154500257.1563593,-0.0,0.71063207044426,252176346.97455478,3.486315335250241,1.0,198173.15270208023,0.0,5.563723286121834,72333200.73625928,402441913.2960508,0.011803926,34097299.33523562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,402441913.2960508,34097299.33523562,0.0,0.0,0.0,1635623.5157596492,0.0,0.0,0.0,41275125.281676605,0.0,2001.0,42.888,32925985.047892097,6517706.148364854,116453783.21692881,285988130.07912195,92501903.0112768,43220660.74634918,150265566.32149598,0,38678356.77115307,111587209.55034292,0.0,0.0,0.0,111587209.55034292,154807870.2966921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0,0.0,0.0,0.0,0.0,-154500257.1563593,0.0,-154500257.1563593,307613.1403328292,20636170.249946557,3705733193.0215683,-3596691625.3042583,109041567.71730995,-0.0,129677737.96725652,2010910935.0277565,2010910935.0277565,0.0,1375648666.8940184,-3256881863.9545193,93664545.6463721,-1881233197.0605009,-1881233197.0605009,-0.05931599002436392,-1.068932303645227,-0.05931599002436392,0.3733844844608798
24,2054,2125703731.2267942,150805988.5199212,-0.0,0.7089022686980172,240529493.85630113,3.325298637527707,1.0,198173.15270208023,0.0,5.563723286121834,72333200.73625928,402441913.2960508,0.01220526,35256609.00317216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,402441913.2960508,35256609.00317216,0.0,0.0,0.0,1172458.5722039293,0.0,0.0,0.0,41275125.281676605,0.0,2001.0,42.888,32925985.047892097,6517706.148364854,117149927.94130963,285291985.35474116,92501903.0112768,30877662.9037147,161912419.43974966,0,41676256.76379157,120236162.6759581,0.0,0.0,0.0,120236162.6759581,151113825.5796728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0,0.0,0.0,0.0,0.0,-150805988.5199212,0.0,-150805988.5199212,307837.0597516075,20944007.309698164,3705733193.0215683,-3627569288.207973,78163904.8135953,-0.0,99107912.12329346,2010910935.0277565,2010910935.0277565,0.0,1375648666.8940184,-3287451689.798483,213900708.32233018,-1911803022.9044645,-1911803022.9044645,-0.06289150149647318,-1.0518400227094131,-0.06289150149647318,0.4023249420361468
25,2055,2273655931.039448,147952199.81265336,-0.0,0.7067452718540275,232563845.65089232,3.2151742669160277,1.0,198173.15270208023,0.0,5.563723286121834,72333200.73625928,402441913.2960508,0.012620239,36455334.1714625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,402441913.2960508,36455334.1714625,0.0,0.0,0.0,841799.3407823753,0.0,0.0,0.0,41275125.281676605,0.0,2001.0,42.888,32925985.047892097,6517706.148364854,118017993.87817842,284423919.41787237,92501903.0112768,22043948.761437077,169878067.6451585,0,43726614.6118638,126151453.03329471,0.0,0.0,0.0,126151453.03329471,148195401.7947318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0,0.0,0.0,0.0,0.0,-147952199.81265336,0.0,-147952199.81265336,243201.98207841814,21187209.291776583,3705733193.0215683,-3649613236.96941,56119956.052158356,-0.0,77307165.34393494,2010910935.0277565,2010910935.0277565,0.0,1375648666.8940184,-3309252436.5778418,340052161.3556249,-1933603769.6838233,-1933603769.6838233,-0.06524162551354695,-1.0399808722738342,-0.06524162551354695,0.422118228824218
26,2056,2419841128.2628675,146185197.22341973,-0.0,0.7043231282704577,229141928.9749316,3.1678665763793172,1.0,198173.15270208023,0.0,5.563723286121834,72333200.73625928,402441913.2960508,0.013049327,37694815.16932351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,402441913.2960508,37694815.16932351,0.0,0.0,0.0,577090.4409709739,0.0,0.0,0.0,41275125.281676605,0.0,2001.0,42.888,32925985.047892097,6517706.148364854,118992765.97622803,283449147.3198228,92501903.0112768,17647259.987426754,173299984.32111925,0,44607415.9642561,128692568.35686314,0.0,0.0,0.0,128692568.35686314,146339828.3442899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0,0.0,0.0,0.0,0.0,-146185197.22341973,0.0,-146185197.22341973,154631.1208701618,21341840.412646744,3705733193.0215683,-3667260496.9568367,38472696.0647316,-0.0,59814536.47737834,2010910935.0277565,2010910935.0277565,0.0,1375648666.8940184,-3326745065.444398,468744729.71248806,-1951096398.5503795,-1951096398.5503795,-0.06595910302150053,-1.0306568842635442,-0.06595910302150053,0.43062111225386573
27,2057,2565356998.5549874,145515870.29211998,-0.0,0.7017955162948267,230138977.67734605,3.181650685091026,1.0,198173.15270208023,0.0,5.563723286121834,72333200.73625928,402441913.2960508,0.013493004,38976438.54422093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,402441913.2960508,38976438.54422093,0.0,0.0,0.0,312684.0656165028,0.0,0.0,0.0,41275125.281676605,0.0,2001.0,42.888,32925985.047892097,6517706.148364854,120009982.97577098,282431930.32027984,92501903.0112768,17627091.69029827,172302935.6187048,0,44350775.628254615,127952159.99045017,0.0,0.0,0.0,127952159.99045017,145579251.68074843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0,0.0,0.0,0.0,0.0,-145515870.29211998,0.0,-145515870.29211998,63381.38862845674,21405221.8012752,3705733193.0215683,-3684887588.647135,20845604.374433517,-0.0,42250826.17570872,2010910935.0277565,2010910935.0277565,0.0,1375648666.8940184,-3344308775.746068,596696889.7029382,-1968660108.8520496,-1968660108.8520496,-0.06499454091395222,-1.0214617170255682,-0.06499454091395222,0.4281436150810477
28,2058,2710088727.942667,144731729.3876798,-0.0,0.6991603791910606,231219635.59231156,3.1965906836527624,1.0,198173.15270208023,0.0,5.563723286121834,72333200.73625928,402441913.2960508,0.013951766,40301637.06186933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,402441913.2960508,40301637.06186933,0.0,0.0,0.0,47975.165805101395,0.0,0.0,0.0,41275125.281676605,0.0,2001.0,42.888,32925985.047892097,6517706.148364854,121070472.59360799,281371440.70244277,92501903.0112768,17647259.987426754,171222277.70373923,0,44072614.28094248,127149663.42279676,0.0,0.0,0.0,127149663.42279676,144796923.4102235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0,0.0,0.0,0.0,0.0,-144731729.3876798,0.0,-144731729.3876798,65194.02254373953,21470415.82381894,3705733193.0215683,-3702534848.6345615,3198344.3870067596,-0.0,24668760.2108257,2010910935.0277565,2010910935.0277565,0.0,1375648666.8940184,-3361890841.710951,723846553.1257349,-1986242174.8169324,-1986242174.8169324,-0.0640151865844435,-1.0124198149266959,-0.0640151865844435,0.4254583631744687
29,2059,2691693399.7265024,-18395328.216164418,-0.0,0.6901995486338809,269797676.6072624,3.7299286338924285,1.0,198173.15270208023,0.0,5.563723286121834,72333200.73625928,402441913.2960508,0.014426126,41671892.5948727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,402441913.2960508,41671892.5948727,0.0,0.0,0.0,2283933.426954896,0.0,0.0,0.0,41275125.281676605,0.0,2001.0,42.888,32925985.047892097,6517706.148364854,124676686.38776115,277765226.9082897,92501903.0112768,52619087.20822446,132644236.68878843,0,34142626.52369414,98501610.16509429,0.0,0.0,0.0,98501610.16509429,151120697.37331873,0.0,0.0,0.0,0.0,0.0,201682971.2848772,0.0,-0.0,0,201682971.2848772,31639964.5318028,0.0,18395328.216164418,0.0,0.0,50035292.74796721,-526981.1635912657,20943434.660227675,3907416164.3064456,-3755153935.842786,152262228.46365976,-0.0,173205663.12388745,2042550899.5595593,2042550899.5595593,0.0,1394043995.1101828,-3263389231.5458565,822348163.2908292,-1869345236.4356737,-1869345236.4356737,-0.05269310785679681,-1.0926557918504882,-0.05269310785679681,0.3295984645396776
30,2060,2838404197.4850984,146710797.75859594,-0.0,0.6882898727495721,262623222.13050658,3.630742445479237,1.0,198173.15270208023,0.0,5.563723286121834,72333200.73625928,402441913.2960508,0.014916614,43088736.12272445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,402441913.2960508,43088736.12272445,0.0,0.0,0.0,1635623.5157596564,0.0,0.0,0.0,41275125.281676605,0.0,2001.0,42.888,32925985.047892097,6517706.148364854,125445220.00441766,276996693.2916331,93957341.37973973,43220660.74634918,139818691.1655442,0,35989331.106011085,103829360.05953312,0.0,0.0,0.0,103829360.05953312,147050020.8058823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0,0.0,0.0,0.0,0.0,-146710797.75859594,0.0,-146710797.75859594,339223.0472863652,21282657.70751404,3907416164.3064456,-3798374596.589135,109041567.71731043,-0.0,130324225.42482448,2042550899.5595593,2042550899.5595593,0.0,1394043995.1101828,-3306270669.2449193,926177523.3503623,-1912226674.1347365,-1912226674.1347365,-0.054297621439945064,-1.0681531259801056,-0.054297621439945064,0.34742576890267524
31,2061,2981206399.7498636,142802202.26476508,-0.0,0.6858004390954007,251282076.73068044,3.4739521294917264,1.0,198173.15270208023,0.0,5.563723286121834,72333200.73625928,402441913.2960508,0.015423779,44553753.509088516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,402441913.2960508,44553753.509088516,0.0,0.0,0.0,1172458.5722039365,0.0,0.0,0.0,41275125.281676605,0.0,2001.0,42.888,32925985.047892097,6517706.148364854,126447072.447226,275994840.8488248,93957341.37973973,30877662.9037147,151159836.56537038,0,38908541.93192634,112251294.63344404,0.0,0.0,0.0,112251294.63344404,143128957.53715873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0,0.0,0.0,0.0,0.0,-142802202.26476508,0.0,-142802202.26476508,326755.2723936327,21609412.979907673,3907416164.3064456,-3829252259.49285,78163904.81359577,-0.0,99773317.79350345,2042550899.5595593,2042550899.5595593,0.0,1394043995.1101828,-3336821576.87624,1038428817.9838064,-1942777581.766057,-1942777581.766057,-0.0577787677225529,-1.0513560166279068,-0.0577787677225529,0.3756065945700137
32,2062,3120919431.1720667,139713031.42220327,-0.0,0.6828579775039869,243632532.46105152,3.3681978673857174,1.0,198173.15270208023,0.0,5.563723286121834,72333200.73625928,402441913.2960508,0.015948188,46068582.61315876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,402441913.2960508,46068582.61315876,0.0,0.0,0.0,841799.3407823824,0.0,0.0,0.0,41275125.281676605,0.0,2001.0,42.888,32925985.047892097,6517706.148364854,127631242.3198747,274810670.9761761,93957341.37973973,22043948.761437077,158809380.83499926,0,40877534.626928814,117931846.20807046,0.0,0.0,0.0,117931846.20807046,139975794.96950755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0,0.0,0.0,0.0,0.0,-139713031.42220327,0.0,-139713031.42220327,262763.5473042652,21872176.527211938,3907416164.3064456,-3851296208.254287,56119956.05215883,-0.0,77992132.57937077,2042550899.5595593,2042550899.5595593,0.0,1394043995.1101828,-3358602762.0903726,1156360664.191877,-1964558766.9801898,-1964558766.9801898,-0.06002968615153657,-1.0396995670937625,-0.06002968615153657,0.39461441661066093
33,2063,1276590907.1521595,-1844328524.0199072,-0.0,0.6796236678218058,240537465.4637301,3.325408844284049,1.0,198173.15270208023,0.0,5.563723286121834,72333200.73625928,402441913.2960508,0.016490426,47634913.28965907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,402441913.2960508,47634913.28965907,0.0,0.0,0.0,577090.4409709811,0.0,0.0,0.0,41275125.281676605,0.0,2001.0,42.888,32925985.047892097,6517706.148364854,128932864.09656361,273509049.1994872,93957341.37973973,17647259.987426754,161904447.83232072,0,41674204.872039355,120230242.96028137,38472696.064732075,38472696.064732075,0.0,158702939.02501345,176350199.0124402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0,0.0,0.0,-2042550899.5595593,1844328524.0199072,0.0,0.0,-198222375.5396521,-21872176.527211938,0.0,3907416164.3064456,-3868943468.2417135,38472696.064732075,-0.0,38472696.064732075,0.0,0.0,0.0,3238372519.1300898,-3199899823.065359,1315063603.2168903,38472696.064730644,38472696.064730644,4.125079738576012,0.0,4.125079738576012,0.4023051339416974
